Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key,Speakers Config,Default Format
Acquisizione,Subunit,Capture,SRS-XB100,,,,,No,,100.0%,-63.50 dB,0.00 dB,0.50 dB,1,0.00 dB,100.0%,{2}.\\?\bthhfenum#bthhfpaudio#c&3101fdfc&0&97#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\wave/00020003,SRS-XB100\Subunit\Acquisizione,,,,,,
Acquisizione,Subunit,Capture,Logitech PRO X Gaming Headset,,,,,No,,22.1%,-30.00 dB,5.00 dB,1.00 dB,1,-7.59 dB,22.1%,{2}.\\?\usb#vid_046d&pid_0aaa&mi_00#a&26545131&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020002,Logitech PRO X Gaming Headset\Subunit\Acquisizione,,,,,,
Acquisizione,Subunit,Capture,OD-WB01,,,,,No,,9.8%,-38.00 dB,10.00 dB,1.00 dB,2,"-9.90 dB, -9.90 dB","9.8%, 9.8%",{2}.\\?\usb#vid_0458&pid_6006&mi_02#c&1ad9c598&0&0002#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020002,OD-WB01\Subunit\Acquisizione,,,,,,
Altoparlanti,Device,Render,Logitech PRO X Gaming Headset,,,,Active,No,-8.83 dB,42.0%,-50.00 dB,5.00 dB,1.00 dB,1,-8.83 dB,42.0%,{0.0.0.00000000}.{b2520a18-9236-4169-a438-af902a1d0f4d},Logitech PRO X Gaming Headset\Device\Altoparlanti\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{b2520a18-9236-4169-a438-af902a1d0f4d},0x63f 0x0 0x0,"8 Channel, 16 bit, 44100 Hz"
Altoparlanti,Device,Render,SRS-XB100,Render,Render,Render,Active,No,-2.97 dB,82.0%,-63.50 dB,0.00 dB,0.50 dB,2,"-2.97 dB, -2.97 dB","82.0%, 82.0%",{0.0.0.00000000}.{0eb8e066-0c33-456e-8e5a-b2ba44490f7a},SRS-XB100\Device\Altoparlanti\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{0eb8e066-0c33-456e-8e5a-b2ba44490f7a},0x3 0x0 0x0,"2 Channel, 16 bit, 48000 Hz"
Cuffia auricolare con microfono,Device,Capture,SRS-XB100,,,Capture,Active,No,0.00 dB,100.0%,-63.50 dB,0.00 dB,0.50 dB,1,0.00 dB,100.0%,{0.0.1.00000000}.{fd73ebd7-98c9-4caf-a46a-bcf1f00ce7a9},SRS-XB100\Device\Cuffia auricolare con microfono\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{fd73ebd7-98c9-4caf-a46a-bcf1f00ce7a9},,"1 Channel, 16 bit, 16000 Hz"
Google Chrome,Application,Render,Logitech PRO X Gaming Headset,,,,Inactive,No,,100.0%,,,0.00 dB,8,,"100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%",{0.0.0.00000000}.{b2520a18-9236-4169-a438-af902a1d0f4d}|\Device\HarddiskVolume3\Program Files\Google\Chrome\Application\chrome.exe%b{00000000-0000-0000-0000-000000000000}|3%b27160,Logitech PRO X Gaming Headset\Application\Google Chrome,C:\Program Files\Google\Chrome\Application\chrome.exe,27160,,,,
Google Chrome,Application,Capture,Logitech PRO X Gaming Headset,,,,Inactive,No,,41.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{5155a3d6-f479-4a26-acbc-158872547932}|\Device\HarddiskVolume3\Program Files\Google\Chrome\Application\chrome.exe%b{00000000-0000-0000-0000-000000000000}|3%b27160,Logitech PRO X Gaming Headset\Application\Google Chrome,C:\Program Files\Google\Chrome\Application\chrome.exe,27160,,,,
Gruppo microfoni,Device,Capture,OD-WB01,,,,Active,No,-9.90 dB,31.4%,-38.00 dB,10.00 dB,1.00 dB,2,"-9.90 dB, -9.90 dB","31.4%, 31.4%",{0.0.1.00000000}.{b5540fa1-c1fa-4ef7-aab7-9401b6e31ffa},OD-WB01\Device\Gruppo microfoni\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{b5540fa1-c1fa-4ef7-aab7-9401b6e31ffa},,
Microfono,Device,Capture,Logitech PRO X Gaming Headset,Capture,Capture,,Active,No,-7.59 dB,41.0%,-30.00 dB,5.00 dB,1.00 dB,1,-7.59 dB,41.0%,{0.0.1.00000000}.{5155a3d6-f479-4a26-acbc-158872547932},Logitech PRO X Gaming Headset\Device\Microfono\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{5155a3d6-f479-4a26-acbc-158872547932},,"1 Channel, 16 bit, 48000 Hz"
